ds,brand,store_type,quantity,unit_price
01-01-2023,Cadbury,Airport,208,9.84
01-01-2023,Cadbury,Mall,199,9.13
01-01-2023,Cadbury,Online,193,9.29
01-01-2023,Cadbury,Retail,125,8.9
01-01-2023,Ferrero,Airport,229,8.29
01-01-2023,Ferrero,Mall,143,10.63
01-01-2023,Ferrero,Online,220,8.84
01-01-2023,Ferrero,Retail,141,9.63
01-01-2023,Godiva,Airport,208,9.06
01-01-2023,Godiva,Mall,222,8.48
01-01-2023,Godiva,Online,127,8.02
01-01-2023,Godiva,Retail,100,9.52
01-01-2023,Hershey,Airport,134,9.95
01-01-2023,Hershey,Mall,122,9.06
01-01-2023,Hershey,Online,124,8.43
01-01-2023,Hershey,Retail,137,9.1
01-01-2023,Lindt,Airport,205,9.27
01-01-2023,Lindt,Mall,224,8.97
01-01-2023,Lindt,Online,193,9.62
01-01-2023,Lindt,Retail,131,8.74
01-01-2023,Mars,Airport,211,9.26
01-01-2023,Mars,Mall,184,9.11
01-01-2023,Mars,Online,185,9.08
01-01-2023,Mars,Retail,105,9.46
02-01-2023,Cadbury,Airport,214,9.38
02-01-2023,Cadbury,Mall,249,9.42
02-01-2023,Cadbury,Online,234,9.08
02-01-2023,Cadbury,Retail,137,9.54
02-01-2023,Ferrero,Airport,213,8.78
02-01-2023,Ferrero,Mall,207,8.73
02-01-2023,Ferrero,Online,149,8.27
02-01-2023,Ferrero,Retail,160,8.7
02-01-2023,Godiva,Airport,193,9.1
02-01-2023,Godiva,Mall,150,8.39
02-01-2023,Godiva,Online,163,8.78
02-01-2023,Godiva,Retail,139,9.47
02-01-2023,Hershey,Airport,182,9.06
02-01-2023,Hershey,Mall,147,8.13
02-01-2023,Hershey,Online,153,8.91
02-01-2023,Hershey,Retail,100,9.01
02-01-2023,Lindt,Airport,210,9.42
02-01-2023,Lindt,Mall,195,9.34
02-01-2023,Lindt,Online,138,8.8
02-01-2023,Lindt,Retail,132,8.21
02-01-2023,Mars,Airport,253,8.93
02-01-2023,Mars,Mall,218,9.26
02-01-2023,Mars,Online,170,9.03
02-01-2023,Mars,Retail,131,10.62
03-01-2023,Cadbury,Airport,208,9.29
03-01-2023,Cadbury,Mall,187,9.28
03-01-2023,Cadbury,Online,219,9.48
03-01-2023,Cadbury,Retail,163,8.14
03-01-2023,Ferrero,Airport,216,8.96
03-01-2023,Ferrero,Mall,214,8.78
03-01-2023,Ferrero,Online,216,9.51
03-01-2023,Ferrero,Retail,127,8.9
03-01-2023,Godiva,Airport,183,8.92
03-01-2023,Godiva,Mall,110,8.75
03-01-2023,Godiva,Online,117,8.72
03-01-2023,Godiva,Retail,132,8.78
03-01-2023,Hershey,Airport,178,9.31
03-01-2023,Hershey,Mall,104,8.99
03-01-2023,Hershey,Online,115,9.54
03-01-2023,Hershey,Retail,71,8.91
03-01-2023,Lindt,Airport,196,9.34
03-01-2023,Lindt,Mall,158,8.98
03-01-2023,Lindt,Online,197,8.1
03-01-2023,Lindt,Retail,117,8.79
03-01-2023,Mars,Airport,242,8.86
03-01-2023,Mars,Mall,196,9.05
03-01-2023,Mars,Online,181,9.68
03-01-2023,Mars,Retail,141,9.13
04-01-2023,Cadbury,Airport,246,8.83
04-01-2023,Cadbury,Mall,204,9.41
04-01-2023,Cadbury,Online,212,9.29
04-01-2023,Cadbury,Retail,194,9.44
04-01-2023,Ferrero,Airport,168,9.59
04-01-2023,Ferrero,Mall,199,8.37
04-01-2023,Ferrero,Online,195,9.09
04-01-2023,Ferrero,Retail,135,8.66
04-01-2023,Godiva,Airport,130,8.99
04-01-2023,Godiva,Mall,147,9.18
04-01-2023,Godiva,Online,147,8.76
04-01-2023,Godiva,Retail,119,8.99
04-01-2023,Hershey,Airport,156,9.26
04-01-2023,Hershey,Mall,132,9.15
04-01-2023,Hershey,Online,122,8.89
04-01-2023,Hershey,Retail,91,7.85
04-01-2023,Lindt,Airport,267,8.79
04-01-2023,Lindt,Mall,218,8.76
04-01-2023,Lindt,Online,205,9.89
04-01-2023,Lindt,Retail,161,9.43
04-01-2023,Mars,Airport,239,9.2
04-01-2023,Mars,Mall,136,9.11
04-01-2023,Mars,Online,185,9.12
04-01-2023,Mars,Retail,109,9.04
05-01-2023,Cadbury,Airport,251,8.68
05-01-2023,Cadbury,Mall,220,8.93
05-01-2023,Cadbury,Online,219,8.41
05-01-2023,Cadbury,Retail,144,8.91
05-01-2023,Ferrero,Airport,215,8.38
05-01-2023,Ferrero,Mall,204,8.94
05-01-2023,Ferrero,Online,162,9.27
05-01-2023,Ferrero,Retail,135,8.55
05-01-2023,Godiva,Airport,198,8.93
05-01-2023,Godiva,Mall,177,10.54
05-01-2023,Godiva,Online,166,8.58
05-01-2023,Godiva,Retail,144,9.72
05-01-2023,Hershey,Airport,104,8.59
05-01-2023,Hershey,Mall,119,8.97
05-01-2023,Hershey,Online,127,8.55
05-01-2023,Hershey,Retail,111,9.25
05-01-2023,Lindt,Airport,240,8.31
05-01-2023,Lindt,Mall,205,9.78
05-01-2023,Lindt,Online,153,10.4
05-01-2023,Lindt,Retail,125,9.46
05-01-2023,Mars,Airport,201,9.27
05-01-2023,Mars,Mall,182,8.53
05-01-2023,Mars,Online,208,8.88
05-01-2023,Mars,Retail,112,10.48
06-01-2023,Cadbury,Airport,239,9.51
06-01-2023,Cadbury,Mall,185,8.9
06-01-2023,Cadbury,Online,188,9.71
06-01-2023,Cadbury,Retail,135,9.3
06-01-2023,Ferrero,Airport,205,9.57
06-01-2023,Ferrero,Mall,237,8.85
06-01-2023,Ferrero,Online,176,9.09
06-01-2023,Ferrero,Retail,122,8.81
06-01-2023,Godiva,Airport,235,8.57
06-01-2023,Godiva,Mall,175,8.44
06-01-2023,Godiva,Online,175,9.06
06-01-2023,Godiva,Retail,107,8.14
06-01-2023,Hershey,Airport,193,8.95
06-01-2023,Hershey,Mall,138,8.86
06-01-2023,Hershey,Online,136,9.4
06-01-2023,Hershey,Retail,92,9.31
06-01-2023,Lindt,Airport,245,9.36
06-01-2023,Lindt,Mall,222,8.94
06-01-2023,Lindt,Online,169,8.37
06-01-2023,Lindt,Retail,118,8.93
06-01-2023,Mars,Airport,260,8.9
06-01-2023,Mars,Mall,198,8.64
06-01-2023,Mars,Online,160,9.44
06-01-2023,Mars,Retail,144,8.82
07-01-2023,Cadbury,Airport,224,9.08
07-01-2023,Cadbury,Mall,161,9.69
07-01-2023,Cadbury,Online,191,9.63
07-01-2023,Cadbury,Retail,151,8.85
07-01-2023,Ferrero,Airport,204,8.79
07-01-2023,Ferrero,Mall,186,8.31
07-01-2023,Ferrero,Online,182,7.46
07-01-2023,Ferrero,Retail,174,9.81
07-01-2023,Godiva,Airport,175,9.61
07-01-2023,Godiva,Mall,142,9.24
07-01-2023,Godiva,Online,201,8.86
07-01-2023,Godiva,Retail,142,8.96
07-01-2023,Hershey,Airport,148,8.84
07-01-2023,Hershey,Mall,128,8.02
07-01-2023,Hershey,Online,138,8.21
07-01-2023,Hershey,Retail,146,8.68
07-01-2023,Lindt,Airport,207,9.22
07-01-2023,Lindt,Mall,184,9.46
07-01-2023,Lindt,Online,180,8.34
07-01-2023,Lindt,Retail,146,9.24
07-01-2023,Mars,Airport,232,9.18
07-01-2023,Mars,Mall,198,8.35
07-01-2023,Mars,Online,182,8.67
07-01-2023,Mars,Retail,116,9.02
08-01-2023,Cadbury,Airport,264,8.82
